title,content,type,expires,code,destination_url,store,category,Banner,price_reduce,,store,image,,,Categories,Slug,Thumb,Thumb2
Nhiều mã giảm giá Lazada giảm 10-20%,Ưu đãi lớn ngày hội mua sắm trực tuyến,sale,31/08/2017 23:59,,https://goo.gl/Dmf6HA,Lazada,"cong-nghe#gia-dung#doi-song",https://voucherbox.vn/appz73/218.jpg,20%,,Lazada,https://voucherbox.vn/file/2016/08/Lazada.png,,,Ẩm thực,am-thuc,https://voucherbox.vn/appz73/images2/ico_ico_am-thuc1.png,https://voucherbox.vn/appz73/images2/ico_ico_am-thuc2.png
Mã giảm 10% các SP của Xiaomi,Tối đa giảm 100.000đ,code,31/08/2017 23:59,ELXIAOMI,https://shopee.vn/web/events3/code/1062414405/,Shopee,cong-nghe,,10%,,Tiki,https://voucherbox.vn/file/2016/08/Tiki.png,,,Công nghệ,cong-nghe,https://voucherbox.vn/appz73/images2/ico_cong-nghe1.png,https://voucherbox.vn/appz73/images2/ico_cong-nghe2.png
Mã giảm 40.000đ x 1 chuyến Grab,Áp dụng tại Quảng Ninh,code,30/09/2017 23:59,HALONG,https://www.grab.com/vn/blog/grab-chinh-thuc-ap-dung-dich-vu-grabtaxi-va-grabcar-tai-quang-ninh/,Grab,doi-song,,40.000đ,,Adayroi,https://voucherbox.vn/file/2016/08/Adayroi.png,,,Dịch vụ IT,it,https://voucherbox.vn/appz73/images2/ico_dich-vu-it1.png,https://voucherbox.vn/appz73/images2/ico_dich-vu-it2.png
"Mã giảm 50%# tối đa 50.000đ/chuyến ngày 26/8",Với Điểm Đón/Điểm Đến là GEM CENTER,code,26/08/2017 23:59,YTFFVN,https://www.facebook.com/GrabVN/photos/a.1445025409062334.1073741827.1378455622385980/2043451425886393/?type=3,Grab,doi-song,,50%,,Abbott,https://voucherbox.vn/wp-content/uploads/2017/02/abbott.png,,,Du lịch,du-lich,https://voucherbox.vn/appz73/images2/ico_du-lich1.png,https://voucherbox.vn/appz73/images2/ico_du-lich2.png
Mã giảm 8% các SP thời trang hàng hiệu,Tối đa giảm 80.000đ,code,31/08/2017 23:59,SEGAXT,https://pub.accesstrade.vn/deep_link/4529754849587926032?url=https%3A%2F%2Fwww.adayroi.com%2Ftt-vinds-thuong-hieu-tin-dung-lp2202,Adayroi,"thoi-trang#the-thao",,8%,,Adidas,https://voucherbox.vn/file/2017/01/adidas-200x115.png,,,Đời sống,doi-song,https://voucherbox.vn/appz73/images2/ico_doi-song1.png,https://voucherbox.vn/appz73/images2/ico_doi-song2.png
Mã giảm 5% khi mua Voucher dịch vụ du lịch,Tối đa giảm 200.000đ,code,02/09/2017 23:59,SAYHI8,https://pub.accesstrade.vn/deep_link/4529754849587926032?url=https%3A%2F%2Fwww.adayroi.com%2Fbiet-doi-tro-ly-sieu-anh-hung-an-choi-29-sl536,Adayroi,du-lich,,5%,,Agoda,https://voucherbox.vn/file/2016/08/Agoda.png,,,Gia dụng,gia-dung,https://voucherbox.vn/appz73/images2/ico_gia-dung.png,https://voucherbox.vn/appz73/images2/ico_gia-dung2.png
Nhiều Voucher dịch vụ khuyến mãi 2/9,"Bao gồm các dịch vụ ẩm thực# giải trí",sale,31/08/2017 23:59,,https://pub.accesstrade.vn/deep_link/4529754849587926032?url=https%3A%2F%2Fwww.adayroi.com%2Fbiet-doi-tro-ly-sieu-anh-hung-an-choi-29-sl536,Adayroi,"am-thuc#giai-tri",,Khuyến mãi,,AirAsia,https://voucherbox.vn/file/2017/01/airasia.png,,,Giải trí,giai-tri,https://voucherbox.vn/appz73/images2/ico_giai-tri.png,https://voucherbox.vn/appz73/images2/ico_giai-tri2.png
Mã giảm giá 25% khi đặt khách sạn,Áp dụng với khách sạn từ 3 sao,code,31/08/2017 23:59,TOIBEN,https://pub.accesstrade.vn/deep_link/4529754849587926032?url=https%3A%2F%2Fwww.vntrip.vn%2Fcam-nang%2Fphong-re-gia-tre-chot-luon-uu-dai-giam-gia-khach-san-toan-site-cho-dip-le-22214,VNTrip,du-lich,,25%,,Airbnb,https://voucherbox.vn/file/2016/08/Airbnb.png,,,Giáo dục,giao-duc,https://voucherbox.vn/appz73/images2/ico_giao-duc.png,https://voucherbox.vn/appz73/images2/ico_giao-duc2.png
Tặng Coca-cola khi cài đặt ứng dụng,Quà tặng là mã e-coupon để đổi quà,sale,30/09/2017 23:59,,https://www.facebook.com/VietnamPizzaHut/photos/a.179966347266.136112.179850822266/10154835898572267/?type=3,Pizza Hut,am-thuc,,Khuyến mãi,,Alfrescos,https://voucherbox.vn/file/2017/04/alfrescos.png,,,Làm đẹp,lam-dep,https://voucherbox.vn/appz73/images2/ico_lam-dep.png,https://voucherbox.vn/appz73/images2/ico_lam-dep2.png
Tặng phiếu mua hàng 500K cho đơn hàng Laptop,Áp dụng với chủ thẻ TPBank,code,30/09/2017 23:59,5/11/3368 0:00,https://pub.accesstrade.vn/deep_link/4529754849587926032?url=https%3A%2F%2Ffptshop.com.vn%2Flp%2Ftpbank,FPT Shop,cong-nghe,,Khuyến mãi,,Amazon,https://voucherbox.vn/file/2016/08/Amazon.png,,,Mẹ và Bé,me-va-be,https://voucherbox.vn/appz73/images2/ico_me-va-be.png,https://voucherbox.vn/appz73/images2/ico_me-va-be2.png
